positionlabel,position
Foreign Minister,Q108730677
"Minister of Agricultural, Fisheries wealth and Water Resources",Q114586728
Minister of Diwan of Royal Court,Q114587351
Minister of Economy,Q114587348
Minister of Endowments and Religious Affairs,Q114586780
Minister of Energy and Minerals,Q114587220
Minister of Health,Q114586745
Minister of Heritage and Tourism,Q108864733
Minister of Housing and Urban Planning,Q114586787
Minister of Information,Q114587349
Minister of Justice and Legal Affairs,Q114586794
Minister of Labour,Q114586691
Minister of Royal Office,Q114587197
Minister of Social Development,Q114586810
"Minister of Transport, Communications and Information Technology",Q114587172
