position,title
Q28478447,Sultan
Q105085799,Crown Prince
Q108798170,Deputy Prime Minister
Q114586821,Deputy Prime Minister for Cabinet Affairs
Q114586849,Deputy Prime Minister for International Relations
Q114586728,Minister of Agriculture and Fisheries
Q108864748,Minister of Civil Service
Q108864795,Minister of Commerce and Industry
Q108798192,"Minister of Culture, Sports and Youth"
Q108864540,Minister of Defence
Q114587351,Minister of the Diwan of Royal Court
Q114587348,Minister of Economy
Q108864766,Minister of Education
Q114586780,Minister of Endowments and Religious Affairs
Q114587220,Minister of Energy and Minerals
Q108864705,Minister of Finance
Q108730677,Minister of Foreign Affairs
Q114586745,Minister of Health
Q108864733,Minister of Heritage and Culture
Q108864680,Minister of Higher Education
Q114586787,Minister of Housing
Q114587349,Minister of Information
Q108864685,Minister of the Interior
Q114586794,Minister of Justice
Q114586691,Minister of Labour
Q114587197,Minister of the Royal Office
Q114586810,Minister of Social Affairs and Labour
Q114587172,Minister of Transport and Communications
Q108864751,Governor of Al Buraimi
